# "id",  "32-bit words", "Varint", "Varint [diff]", "VarBits", "VarBits [diff]", "Minimum number of bits [diff]", "Varnibble", "Varnibble [diff]", "Subsets (first match, varint)", "Subsets (first match, varnibble)", "best: Subsets (first match) or varint", "best: Subsets (first match) or varnibble"
331, 32, 16, 11, 17, 12, 15, 20, 12, 11, 14, 11, 12
332, 24, 12, 8, 13, 8, 10, 15, 8, 10, 9, 8, 8
333, 64, 32, 27, 32, 27, 28, 39, 27, 28, 29, 27, 27
334, 44, 22, 15, 23, 15, 19, 28, 14, 16, 15, 15, 14
335, 6784, 3389, 1704, 3182, 996, 1700, 4058, 1083, 1091, 1064, 1091, 1064
336, 24, 12, 10, 13, 11, 13, 15, 10, 10, 11, 10, 10
337, 68, 34, 22, 34, 20, 27, 43, 19, 20, 21, 20, 19
338, 84, 42, 28, 42, 24, 33, 53, 23, 25, 26, 25, 23
339, 46468, 23138, 11617, 21784, 3552, 8717, 27160, 5825, 2407, 2587, 2407, 2587
340, 140, 70, 42, 68, 33, 52, 88, 33, 36, 37, 36, 33
341, 5184, 2586, 1303, 2432, 891, 1139, 3063, 923, 1083, 1042, 1083, 923
342, 76, 38, 24, 38, 18, 32, 47, 18, 20, 20, 20, 18
343, 60, 30, 21, 30, 21, 26, 38, 21, 23, 23, 21, 21
344, 52, 26, 17, 27, 15, 22, 33, 15, 18, 17, 17, 15
345, 5964, 2970, 1496, 2798, 982, 1309, 3468, 1018, 1184, 1161, 1184, 1018
346, 84, 42, 27, 42, 23, 33, 53, 23, 25, 25, 25, 23
347, 192, 96, 55, 92, 42, 70, 120, 41, 48, 48, 48, 41
348, 156, 78, 48, 75, 39, 58, 98, 39, 46, 46, 46, 39
349, 52, 26, 16, 27, 14, 23, 33, 14, 13, 14, 13, 14
350, 56, 28, 18, 28, 17, 25, 35, 17, 19, 18, 18, 17
351, 40, 20, 16, 21, 17, 18, 25, 17, 17, 18, 16, 17
352, 20, 10, 7, 12, 7, 10, 13, 7, 9, 7, 7, 7
353, 24, 12, 7, 13, 7, 8, 15, 7, 8, 7, 7, 7
354, 28, 14, 13, 15, 14, 14, 18, 14, 14, 15, 13, 14
355, 24, 12, 9, 13, 9, 10, 15, 9, 10, 10, 9, 9
356, 11252, 5602, 2813, 5277, 1582, 2114, 6642, 1691, 1908, 1877, 1908, 1691
357, 372, 186, 125, 177, 98, 120, 224, 97, 129, 116, 125, 97
358, 636, 318, 168, 300, 126, 242, 384, 125, 162, 155, 162, 125
359, 40, 19, 19, 21, 18, 19, 24, 19, 20, 20, 19, 19
360, 92, 46, 40, 45, 38, 36, 53, 38, 43, 41, 40, 38
361, 116, 58, 47, 57, 43, 40, 71, 43, 48, 47, 47, 43
362, 40, 20, 14, 21, 15, 18, 25, 14, 17, 16, 14, 14
363, 4340, 2161, 1092, 2037, 794, 1089, 2571, 806, 1017, 973, 1017, 806
364, 1524, 756, 404, 717, 362, 433, 905, 362, 445, 417, 404, 362
365, 1108, 553, 312, 522, 276, 316, 662, 280, 342, 315, 312, 280
366, 632, 313, 196, 298, 172, 202, 373, 173, 212, 199, 196, 173
367, 412, 203, 134, 195, 126, 146, 246, 125, 151, 143, 134, 125
368, 144, 71, 55, 70, 53, 54, 83, 54, 64, 60, 55, 54
369, 112, 56, 48, 55, 43, 43, 67, 43, 52, 49, 48, 43
370, 64, 32, 28, 32, 26, 26, 39, 25, 28, 28, 28, 25
371, 108, 53, 44, 53, 41, 41, 63, 42, 49, 47, 44, 42
372, 36, 18, 18, 19, 17, 16, 21, 18, 18, 19, 18, 18
373, 112, 56, 50, 55, 43, 39, 66, 45, 52, 48, 50, 45
374, 20, 10, 10, 12, 11, 11, 12, 10, 10, 11, 10, 10
375, 108, 53, 40, 53, 35, 44, 65, 35, 41, 39, 40, 35
376, 40, 20, 17, 21, 17, 19, 25, 16, 17, 18, 17, 16
377, 24, 12, 12, 13, 12, 12, 14, 12, 12, 13, 12, 12
378, 40, 20, 14, 21, 15, 18, 25, 15, 15, 16, 14, 15
379, 24, 12, 9, 12, 9, 12, 12, 9, 9, 10, 9, 9
380, 32, 16, 12, 17, 13, 16, 16, 12, 13, 14, 12, 12
381, 28, 13, 13, 14, 14, 14, 17, 14, 14, 16, 13, 14
382, 3516, 1752, 898, 1650, 628, 883, 2122, 652, 729, 699, 729, 652
383, 156, 78, 56, 75, 51, 58, 96, 51, 60, 57, 56, 51
384, 24, 12, 10, 13, 10, 11, 15, 10, 12, 11, 10, 10
385, 448, 224, 120, 212, 94, 172, 276, 93, 114, 109, 114, 93
386, 96, 48, 30, 47, 25, 28, 60, 25, 31, 31, 30, 25
387, 500, 250, 150, 237, 129, 160, 300, 132, 159, 148, 150, 132
388, 4536, 2262, 1155, 2128, 737, 1280, 2671, 761, 929, 888, 929, 761
389, 468, 234, 121, 222, 83, 165, 293, 86, 105, 98, 105, 86
390, 316, 158, 92, 150, 75, 113, 193, 74, 91, 88, 91, 74
391, 620, 310, 159, 293, 94, 198, 388, 103, 97, 99, 97, 99
392, 72, 36, 25, 36, 26, 31, 45, 26, 27, 28, 25, 26
393, 340, 170, 108, 162, 93, 110, 206, 93, 116, 108, 108, 93
394, 2404, 1197, 632, 1129, 460, 680, 1439, 471, 595, 539, 595, 471
395, 6284, 3132, 1574, 2948, 1045, 1379, 3697, 1068, 1318, 1278, 1318, 1068
396, 452, 226, 120, 205, 72, 159, 280, 78, 74, 77, 74, 77
397, 13224, 6590, 3306, 6201, 1717, 2484, 7751, 1900, 1862, 1859, 1862, 1859
398, 30996, 15419, 7750, 14532, 2933, 6785, 18307, 3954, 2367, 2484, 2367, 2484
399, 10172, 5070, 2543, 4770, 1492, 1912, 5979, 1571, 1798, 1763, 1798, 1571
400, 120, 60, 31, 55, 27, 27, 75, 27, 31, 32, 31, 27
401, 936, 467, 271, 441, 228, 268, 559, 230, 285, 264, 271, 230
402, 116, 58, 36, 57, 32, 44, 73, 32, 36, 39, 36, 32
403, 4348, 2167, 1092, 2040, 799, 956, 2554, 819, 971, 941, 971, 819
404, 44, 22, 15, 23, 15, 18, 28, 15, 17, 15, 15, 15
405, 56, 28, 25, 28, 26, 23, 35, 25, 27, 27, 25, 25
406, 44, 22, 22, 23, 21, 19, 28, 21, 22, 23, 22, 21
407, 836, 416, 241, 394, 213, 239, 496, 212, 260, 252, 241, 212
408, 16948, 8447, 4238, 7947, 2092, 3712, 10047, 2332, 2185, 2205, 2185, 2205
409, 10640, 5305, 2663, 4990, 1483, 2664, 6326, 1581, 1680, 1666, 1680, 1581
410, 528, 263, 169, 250, 153, 169, 317, 153, 191, 174, 169, 153
411, 36, 18, 14, 19, 13, 16, 23, 12, 14, 14, 14, 12
412, 5988, 2985, 1502, 2809, 968, 1688, 3512, 1001, 1230, 1184, 1230, 1001
413, 104, 52, 28, 49, 21, 40, 65, 21, 25, 25, 25, 21
414, 20, 10, 9, 12, 10, 10, 13, 10, 9, 10, 9, 10
415, 12648, 6225, 3164, 5931, 1597, 2771, 7287, 1834, 1604, 1621, 1604, 1621
416, 20, 10, 9, 12, 8, 11, 12, 9, 9, 10, 9, 9
417, 10392, 5098, 2608, 4873, 1255, 2602, 5963, 1507, 1236, 1233, 1236, 1233
418, 36, 18, 13, 18, 13, 16, 20, 13, 14, 14, 13, 13
419, 28, 14, 10, 15, 11, 14, 18, 11, 11, 12, 10, 11
420, 40, 20, 16, 21, 15, 18, 25, 15, 16, 16, 16, 15
421, 120, 60, 33, 58, 24, 42, 75, 24, 29, 28, 29, 24
422, 20, 10, 6, 12, 6, 7, 13, 5, 7, 7, 6, 5
423, 700, 349, 214, 330, 184, 223, 427, 184, 227, 210, 214, 184
424, 1388, 694, 376, 653, 306, 395, 812, 306, 386, 357, 376, 306
425, 1312, 656, 363, 617, 300, 373, 787, 300, 379, 346, 363, 300
426, 2844, 1419, 736, 1335, 549, 715, 1662, 554, 710, 667, 710, 554
427, 2200, 1098, 571, 1033, 461, 623, 1284, 461, 575, 540, 571, 461
428, 1608, 801, 430, 756, 339, 457, 949, 338, 409, 384, 409, 338
429, 1160, 578, 331, 546, 274, 331, 683, 273, 354, 322, 331, 273
430, 852, 425, 242, 402, 211, 244, 476, 211, 264, 250, 242, 211
431, 756, 374, 223, 357, 190, 240, 447, 190, 239, 224, 223, 190
432, 7048, 3420, 1767, 3306, 1075, 1546, 4055, 1147, 1252, 1211, 1252, 1147
433, 80, 40, 33, 40, 30, 34, 48, 29, 33, 32, 33, 29
434, 568, 282, 183, 268, 154, 164, 341, 155, 194, 180, 183, 155
435, 5464, 2633, 1373, 2563, 879, 1370, 3050, 941, 1010, 974, 1010, 941
436, 2408, 1203, 634, 1131, 471, 606, 1413, 470, 598, 563, 598, 470
437, 924, 462, 269, 435, 228, 264, 553, 227, 290, 260, 269, 227
438, 27136, 13465, 6785, 12722, 2536, 5941, 15620, 3548, 2136, 2219, 2136, 2219
439, 3784, 1888, 964, 1776, 647, 1069, 2209, 668, 831, 780, 831, 668
440, 112, 56, 41, 55, 35, 46, 63, 35, 44, 40, 41, 35
441, 25216, 12511, 6306, 11822, 2325, 5521, 14435, 3317, 1932, 2000, 1932, 2000
442, 3808, 1897, 980, 1787, 657, 956, 2208, 678, 852, 796, 852, 678
443, 2032, 1010, 538, 955, 433, 512, 1199, 432, 554, 501, 538, 432
444, 948, 473, 271, 447, 229, 300, 530, 228, 288, 267, 271, 228
445, 1136, 566, 314, 535, 253, 324, 675, 252, 322, 296, 314, 252
446, 344, 172, 114, 163, 102, 112, 203, 102, 124, 117, 114, 102
447, 248, 123, 85, 118, 73, 97, 152, 72, 90, 84, 85, 72
448, 44, 22, 15, 23, 15, 20, 27, 15, 15, 16, 15, 15
449, 116, 58, 44, 57, 39, 44, 68, 41, 45, 45, 44, 41
450, 516, 258, 165, 244, 154, 165, 314, 155, 194, 173, 165, 155
451, 48, 24, 19, 25, 18, 21, 30, 17, 19, 18, 19, 17
452, 44, 22, 21, 23, 20, 19, 28, 20, 22, 23, 21, 20
453, 72, 36, 31, 36, 28, 29, 45, 29, 35, 31, 31, 29
454, 276, 137, 98, 132, 85, 90, 163, 85, 100, 95, 98, 85
455, 156, 78, 59, 75, 56, 62, 97, 55, 65, 61, 59, 55
456, 136, 67, 62, 66, 53, 51, 82, 53, 64, 59, 62, 53
457, 48, 24, 23, 25, 22, 21, 30, 22, 24, 25, 23, 22
458, 276, 138, 102, 132, 89, 90, 169, 90, 112, 101, 102, 90
459, 152, 76, 63, 73, 54, 52, 95, 56, 66, 63, 63, 56
460, 92, 46, 42, 45, 36, 36, 55, 38, 44, 43, 42, 38
461, 64, 32, 23, 32, 23, 24, 40, 24, 26, 25, 23, 24
462, 348, 174, 118, 165, 109, 102, 209, 109, 134, 124, 118, 109
463, 216, 108, 79, 103, 72, 78, 128, 71, 90, 82, 79, 71
464, 56, 28, 25, 28, 23, 23, 35, 24, 26, 26, 25, 24
465, 52, 26, 24, 27, 23, 23, 32, 23, 25, 25, 24, 23
466, 28, 14, 14, 15, 14, 14, 17, 14, 14, 15, 14, 14
467, 20, 10, 10, 12, 11, 11, 12, 11, 10, 11, 10, 11
468, 24, 12, 11, 13, 12, 12, 15, 11, 13, 13, 11, 11
469, 24, 12, 12, 13, 11, 12, 15, 11, 13, 12, 12, 11
470, 28, 14, 13, 15, 12, 14, 18, 12, 14, 13, 13, 12
471, 108, 54, 44, 53, 40, 41, 66, 41, 49, 45, 44, 41
472, 124, 62, 47, 60, 44, 47, 76, 43, 51, 50, 47, 43
473, 140, 70, 58, 68, 52, 48, 87, 53, 63, 59, 58, 53
474, 24, 12, 12, 13, 13, 12, 15, 12, 12, 13, 12, 12
475, 112, 56, 44, 55, 40, 43, 68, 41, 48, 46, 44, 41
476, 36, 18, 16, 19, 17, 16, 22, 16, 17, 18, 16, 16
477, 56, 28, 27, 28, 25, 23, 34, 26, 28, 29, 27, 26
478, 188, 94, 74, 90, 64, 63, 113, 67, 80, 74, 74, 67
479, 68, 34, 32, 34, 28, 27, 42, 28, 32, 30, 32, 28
480, 196, 98, 75, 94, 63, 65, 118, 63, 71, 67, 71, 63
481, 180, 90, 71, 87, 61, 60, 109, 61, 74, 70, 71, 61
482, 92, 46, 39, 45, 36, 36, 56, 36, 40, 40, 39, 36
483, 84, 42, 38, 42, 34, 33, 51, 34, 39, 39, 38, 34
484, 84, 42, 38, 42, 35, 33, 50, 35, 39, 39, 38, 35
485, 60, 30, 27, 30, 25, 25, 37, 25, 27, 28, 27, 25
486, 104, 52, 41, 51, 38, 40, 63, 38, 43, 44, 41, 38
487, 84, 42, 35, 42, 33, 33, 51, 33, 38, 37, 35, 33
488, 104, 52, 43, 51, 40, 40, 63, 40, 46, 45, 43, 40
489, 96, 48, 44, 47, 39, 40, 60, 39, 45, 44, 44, 39
490, 31852, 15818, 7965, 14933, 2679, 7967, 18273, 4092, 2047, 2153, 2047, 2153
491, 72, 36, 30, 36, 29, 29, 45, 29, 32, 32, 30, 29
492, 6848, 3421, 1731, 3212, 963, 1716, 3924, 1059, 1026, 999, 1026, 999
493, 92, 46, 43, 45, 38, 36, 54, 40, 45, 44, 43, 40
494, 132, 66, 57, 64, 51, 45, 79, 51, 60, 58, 57, 51
495, 80, 40, 34, 40, 32, 32, 47, 32, 37, 36, 34, 32
496, 44, 22, 22, 23, 20, 19, 27, 21, 22, 23, 22, 21
497, 48, 24, 23, 25, 21, 22, 30, 22, 23, 23, 23, 22
498, 40, 20, 20, 21, 18, 18, 23, 19, 20, 22, 20, 19
499, 56, 28, 26, 28, 24, 23, 34, 25, 26, 27, 26, 25
500, 116, 58, 50, 57, 46, 44, 66, 46, 52, 52, 50, 46
501, 64, 32, 28, 32, 24, 28, 40, 26, 28, 27, 28, 26
502, 976, 487, 280, 460, 227, 279, 593, 228, 283, 266, 280, 228
503, 40, 20, 18, 21, 18, 18, 25, 18, 19, 19, 18, 18
504, 44, 22, 20, 23, 19, 19, 28, 20, 20, 22, 20, 20
505, 25964, 12883, 6492, 12173, 2388, 5684, 14907, 3417, 1973, 2037, 1973, 2037
506, 224, 112, 89, 107, 72, 74, 133, 72, 90, 85, 89, 72
507, 624, 311, 193, 295, 180, 180, 372, 179, 221, 205, 193, 179
508, 360, 180, 123, 171, 114, 106, 213, 113, 141, 129, 123, 113
509, 33616, 16699, 8405, 15760, 2866, 7358, 19349, 4319, 2218, 2339, 2218, 2339
510, 268, 134, 98, 128, 86, 88, 161, 87, 106, 98, 98, 87
511, 164, 82, 63, 79, 60, 60, 98, 60, 72, 67, 63, 60
512, 172, 85, 69, 83, 63, 58, 103, 63, 75, 71, 69, 63
513, 408, 203, 136, 193, 128, 132, 244, 127, 156, 146, 136, 127
514, 36, 18, 14, 19, 15, 15, 23, 14, 15, 15, 14, 14
515, 116, 58, 47, 57, 42, 44, 70, 42, 48, 47, 47, 42
516, 244, 121, 92, 117, 87, 80, 146, 86, 108, 97, 92, 86
517, 380, 190, 128, 180, 114, 123, 222, 114, 146, 130, 128, 114
518, 408, 204, 137, 193, 124, 119, 243, 124, 152, 144, 137, 124
519, 176, 87, 67, 85, 60, 65, 103, 62, 73, 68, 67, 62
520, 332, 165, 118, 158, 108, 108, 197, 108, 131, 118, 118, 108
521, 28, 14, 14, 15, 14, 14, 17, 14, 14, 15, 14, 14
522, 468, 232, 156, 222, 141, 150, 273, 142, 175, 161, 156, 142
523, 904, 448, 264, 426, 239, 259, 532, 239, 292, 277, 264, 239
524, 264, 132, 100, 126, 90, 95, 153, 90, 109, 101, 100, 90
525, 132, 66, 55, 64, 51, 49, 76, 51, 60, 56, 55, 51
526, 156, 78, 62, 75, 53, 58, 89, 53, 65, 60, 62, 53
527, 172, 86, 69, 83, 62, 58, 103, 62, 73, 70, 69, 62
528, 104, 52, 40, 51, 38, 40, 65, 39, 46, 45, 40, 39
529, 36, 18, 16, 19, 16, 17, 22, 15, 17, 16, 16, 15
530, 80, 40, 38, 40, 33, 32, 49, 34, 38, 38, 38, 34
531, 20, 10, 9, 12, 10, 11, 13, 10, 9, 11, 9, 10
532, 144, 72, 59, 70, 54, 54, 86, 54, 61, 61, 59, 54
533, 572, 281, 174, 270, 155, 183, 341, 155, 193, 182, 174, 155
534, 1220, 608, 337, 574, 285, 347, 723, 284, 339, 323, 337, 284
535, 11592, 5770, 2903, 5436, 1501, 2902, 6858, 1673, 1581, 1581, 1581, 1581
536, 2472, 1235, 640, 1161, 483, 700, 1498, 493, 556, 538, 556, 493
537, 56, 28, 25, 28, 24, 23, 35, 24, 27, 26, 25, 24
538, 508, 253, 168, 240, 150, 147, 302, 149, 188, 170, 168, 149
539, 2040, 1019, 541, 958, 421, 578, 1216, 421, 521, 479, 521, 421
540, 548, 271, 172, 259, 160, 175, 327, 160, 196, 180, 172, 160
541, 108, 54, 45, 53, 40, 44, 67, 41, 48, 44, 45, 41
542, 13328, 6637, 3335, 6250, 1776, 3336, 7948, 1926, 2028, 2024, 2028, 1926
543, 120, 60, 50, 58, 43, 45, 73, 43, 50, 47, 50, 43
544, 5396, 2690, 1354, 2532, 938, 1353, 3224, 963, 1215, 1165, 1215, 963
545, 340, 170, 108, 162, 97, 110, 210, 97, 117, 109, 108, 97
546, 944, 470, 267, 445, 250, 270, 562, 250, 309, 288, 267, 250
547, 148, 74, 59, 72, 50, 55, 87, 53, 63, 56, 59, 53
548, 92, 46, 41, 45, 37, 36, 52, 36, 42, 42, 41, 36
549, 6304, 3138, 1579, 2957, 1061, 1580, 3748, 1098, 1367, 1318, 1367, 1098
550, 7168, 3572, 1796, 3362, 1156, 1796, 4218, 1190, 1479, 1419, 1479, 1190
551, 2124, 1061, 544, 998, 474, 535, 1263, 474, 594, 566, 544, 474
552, 1968, 983, 510, 925, 447, 558, 1159, 446, 549, 528, 510, 446
553, 1128, 563, 313, 531, 284, 322, 668, 283, 350, 334, 313, 283
554, 780, 390, 227, 368, 215, 224, 469, 216, 271, 242, 227, 216
555, 1076, 537, 300, 507, 274, 307, 639, 274, 334, 314, 300, 274
556, 336, 168, 120, 160, 108, 109, 198, 109, 136, 121, 120, 109
557, 908, 454, 264, 428, 240, 260, 543, 239, 297, 279, 264, 239
558, 192, 96, 72, 92, 64, 64, 114, 67, 78, 72, 72, 67
559, 1192, 596, 332, 561, 288, 340, 717, 288, 367, 334, 332, 288
560, 96, 48, 42, 47, 39, 37, 58, 39, 46, 43, 42, 39
561, 200, 100, 76, 96, 66, 73, 118, 67, 81, 75, 76, 67
562, 104, 52, 48, 51, 42, 40, 60, 43, 49, 47, 48, 43
563, 68, 34, 29, 34, 29, 27, 42, 29, 31, 31, 29, 29
564, 68, 34, 23, 34, 23, 25, 37, 23, 25, 26, 23, 23
565, 1784, 889, 477, 838, 396, 450, 1055, 395, 497, 464, 477, 395
566, 880, 439, 257, 415, 231, 252, 526, 231, 288, 264, 257, 231
567, 27544, 13760, 6888, 12913, 2617, 6030, 16112, 3576, 2202, 2291, 2202, 2291
568, 1252, 624, 344, 589, 312, 356, 706, 312, 374, 351, 344, 312
569, 1156, 573, 327, 544, 286, 329, 686, 286, 361, 329, 327, 286
570, 1000, 497, 283, 471, 252, 286, 585, 251, 310, 292, 283, 251
571, 1012, 506, 291, 477, 234, 289, 588, 234, 273, 256, 273, 234
572, 960, 477, 270, 452, 245, 274, 562, 245, 303, 284, 270, 245
573, 4184, 2090, 1059, 1963, 735, 1181, 2455, 756, 875, 843, 875, 756
574, 128, 63, 52, 62, 46, 48, 70, 46, 54, 53, 52, 46
575, 612, 306, 191, 289, 171, 176, 367, 172, 214, 196, 191, 172
576, 1020, 506, 289, 480, 265, 291, 607, 265, 330, 303, 289, 265
577, 1852, 924, 486, 870, 417, 467, 1108, 417, 514, 487, 486, 417
578, 1276, 636, 349, 600, 298, 363, 753, 297, 371, 341, 349, 297
579, 652, 326, 204, 308, 176, 188, 378, 178, 217, 194, 204, 178
580, 4004, 1992, 1008, 1879, 760, 880, 2338, 759, 922, 898, 922, 759
581, 100, 50, 39, 49, 35, 38, 61, 35, 41, 40, 39, 35
582, 1420, 708, 384, 668, 334, 359, 817, 333, 406, 386, 384, 333
583, 2852, 1425, 727, 1339, 581, 717, 1651, 582, 721, 681, 721, 582
584, 1796, 896, 477, 844, 404, 453, 1067, 403, 496, 467, 477, 403
585, 828, 413, 239, 390, 225, 237, 491, 225, 288, 258, 239, 225
586, 1052, 525, 298, 495, 253, 300, 629, 253, 296, 275, 296, 253
587, 724, 361, 219, 342, 193, 208, 418, 192, 238, 222, 219, 192
588, 472, 234, 148, 223, 123, 152, 270, 122, 156, 144, 148, 122
589, 56, 28, 23, 28, 22, 25, 34, 22, 25, 23, 23, 22
590, 132, 66, 47, 64, 39, 53, 82, 38, 45, 45, 45, 38
591, 24, 12, 10, 13, 11, 13, 15, 10, 10, 10, 10, 10
592, 104, 52, 45, 51, 37, 40, 62, 39, 45, 43, 45, 39
593, 3924, 1952, 989, 1842, 750, 1108, 2349, 757, 964, 924, 964, 757
594, 16624, 8301, 4157, 7795, 1989, 3641, 9901, 2306, 1932, 1952, 1932, 1952
595, 5552, 2772, 1394, 2605, 948, 1392, 3326, 969, 1184, 1163, 1184, 969
596, 14168, 6982, 3543, 6643, 1809, 3104, 8164, 2018, 1897, 1885, 1897, 1885
597, 7940, 3965, 1990, 3724, 1165, 1741, 4780, 1251, 1328, 1307, 1328, 1251
598, 4524, 2190, 1147, 2123, 762, 994, 2581, 793, 877, 858, 877, 793
599, 5136, 2559, 1294, 2410, 886, 1288, 3069, 896, 1118, 1084, 1118, 896
600, 2832, 1414, 727, 1330, 565, 712, 1671, 571, 702, 663, 702, 571
601, 2648, 1321, 687, 1243, 515, 666, 1557, 520, 634, 594, 634, 520
602, 12984, 6473, 3248, 6088, 1693, 3250, 7693, 1858, 1834, 1826, 1834, 1826
603, 2044, 1021, 548, 960, 377, 579, 1253, 388, 415, 406, 415, 388
604, 1960, 977, 517, 921, 396, 556, 1182, 396, 491, 463, 491, 396
605, 5204, 2590, 1308, 2442, 898, 1305, 3116, 913, 1135, 1085, 1135, 913
606, 6676, 3326, 1672, 3132, 1082, 1673, 3937, 1116, 1343, 1302, 1343, 1116
607, 5984, 2979, 1499, 2807, 1006, 1500, 3560, 1033, 1264, 1216, 1264, 1033
608, 6016, 2997, 1510, 2822, 1004, 1508, 3535, 1046, 1258, 1215, 1258, 1046
609, 9236, 4600, 2313, 4332, 1348, 2313, 5489, 1428, 1600, 1560, 1600, 1428
610, 300, 150, 104, 143, 93, 98, 184, 92, 117, 105, 104, 92
611, 9652, 4807, 2415, 4527, 1383, 2417, 5701, 1470, 1596, 1582, 1596, 1470
612, 11740, 5847, 2939, 5505, 1603, 2939, 6953, 1719, 1825, 1795, 1825, 1719
613, 7012, 3493, 1757, 3289, 1120, 1757, 4178, 1156, 1383, 1334, 1383, 1156
614, 9880, 4916, 2474, 4633, 1390, 2474, 5928, 1493, 1615, 1583, 1615, 1493
615, 8424, 4193, 2109, 3951, 1263, 2110, 5032, 1335, 1527, 1497, 1527, 1335
616, 3788, 1887, 956, 1778, 704, 951, 2265, 720, 830, 802, 830, 720
617, 2700, 1344, 687, 1268, 560, 764, 1593, 559, 673, 653, 673, 559
618, 444, 222, 148, 210, 134, 129, 265, 134, 170, 156, 148, 134
619, 320, 158, 112, 152, 102, 104, 194, 101, 128, 113, 112, 101
620, 528, 263, 166, 250, 150, 169, 316, 151, 183, 169, 166, 151
621, 44, 22, 13, 23, 11, 17, 28, 11, 14, 14, 13, 11
622, 840, 417, 253, 396, 230, 241, 499, 233, 287, 266, 253, 233
623, 96, 48, 35, 47, 35, 37, 54, 35, 40, 41, 35, 35
624, 1488, 740, 405, 700, 314, 423, 884, 315, 337, 328, 337, 315
625, 16784, 8289, 4197, 7870, 2039, 3676, 9695, 2343, 2030, 2054, 2030, 2054
626, 84, 42, 34, 42, 32, 33, 48, 33, 37, 36, 34, 33
627, 80, 40, 33, 40, 30, 32, 49, 30, 35, 34, 33, 30
628, 44, 22, 13, 23, 11, 22, 27, 10, 14, 13, 13, 10
629, 680, 340, 208, 321, 183, 217, 401, 182, 226, 207, 208, 182
630, 3188, 1594, 831, 1497, 445, 1000, 1981, 487, 430, 425, 430, 425
631, 3788, 1893, 957, 1778, 714, 951, 2226, 730, 896, 846, 896, 730
632, 6388, 3188, 1600, 2997, 999, 1402, 3838, 1063, 1087, 1078, 1087, 1063
633, 6356, 3174, 1594, 2982, 1010, 1593, 3660, 1050, 1208, 1184, 1208, 1050
634, 7336, 3659, 1839, 3441, 1137, 1609, 4215, 1188, 1384, 1356, 1384, 1188
635, 4276, 2135, 1084, 2007, 719, 1073, 2564, 755, 823, 797, 823, 755
636, 8100, 4030, 2029, 3799, 1198, 2029, 4808, 1276, 1407, 1376, 1407, 1276
637, 26168, 12972, 6542, 12268, 2605, 4911, 15217, 3426, 2281, 2353, 2281, 2353
638, 22248, 11088, 5562, 10431, 2582, 4176, 13075, 2944, 2472, 2553, 2472, 2553
639, 4360, 2171, 1096, 2046, 808, 958, 2592, 816, 1013, 976, 1013, 816
640, 7408, 3697, 1861, 3475, 1098, 1625, 4267, 1178, 1275, 1235, 1275, 1178
641, 42200, 20991, 10550, 19783, 3346, 7917, 24550, 5326, 2404, 2560, 2404, 2560
642, 47492, 23635, 11873, 22264, 3555, 8909, 27746, 5957, 2421, 2604, 2421, 2604
643, 40, 20, 17, 21, 17, 19, 24, 18, 19, 19, 17, 18
644, 88, 44, 28, 43, 27, 37, 55, 28, 30, 30, 28, 28
645, 20, 10, 9, 12, 10, 11, 13, 9, 9, 11, 9, 9
646, 2080, 1034, 543, 977, 454, 589, 1259, 453, 550, 535, 543, 453
647, 11740, 5839, 2938, 5505, 1614, 2939, 7022, 1717, 1911, 1901, 1911, 1717
648, 3508, 1751, 894, 1647, 642, 991, 2089, 658, 770, 731, 770, 658
649, 40, 20, 13, 21, 12, 19, 25, 11, 11, 13, 11, 11
650, 2040, 1017, 530, 958, 456, 578, 1215, 458, 568, 519, 530, 458
651, 120, 60, 48, 58, 42, 42, 70, 43, 49, 48, 48, 43
652, 80, 40, 37, 40, 34, 32, 47, 33, 37, 38, 37, 33
653, 52008, 25892, 13002, 24381, 3660, 9756, 30488, 6514, 2413, 2614, 2413, 2614
654, 36, 18, 11, 18, 8, 12, 23, 8, 9, 9, 9, 8
655, 44, 22, 15, 23, 14, 20, 27, 13, 15, 16, 15, 13
656, 32, 16, 12, 17, 12, 16, 20, 12, 12, 14, 12, 12
657, 24, 12, 8, 13, 8, 12, 15, 8, 9, 9, 8, 8
658, 20, 10, 8, 12, 8, 11, 13, 9, 8, 10, 8, 9
659, 44, 22, 17, 23, 17, 19, 28, 18, 18, 19, 17, 18
660, 440, 220, 146, 208, 131, 128, 265, 131, 165, 151, 146, 131
661, 36, 18, 15, 19, 15, 17, 23, 16, 16, 17, 15, 16
662, 48, 24, 20, 25, 19, 22, 28, 19, 20, 21, 20, 19
663, 64, 32, 24, 32, 21, 28, 38, 21, 24, 25, 24, 21
664, 24, 12, 12, 13, 13, 12, 15, 13, 13, 13, 12, 13
665, 28, 14, 12, 15, 13, 14, 17, 13, 13, 14, 12, 13
666, 64, 32, 29, 32, 26, 26, 39, 27, 29, 30, 29, 27
667, 76, 38, 30, 38, 27, 32, 42, 28, 31, 30, 30, 28
668, 28, 14, 13, 15, 14, 14, 15, 14, 13, 14, 13, 14
669, 60, 30, 25, 30, 25, 25, 36, 26, 27, 29, 25, 26
670, 56, 28, 21, 28, 21, 25, 34, 21, 23, 23, 21, 21
671, 56, 28, 18, 28, 16, 23, 35, 15, 15, 17, 15, 15
672, 24, 12, 12, 13, 13, 13, 15, 13, 12, 14, 12, 13
673, 20, 10, 10, 12, 11, 11, 12, 11, 10, 11, 10, 11
