# "id",  "32-bit words", "Varint", "Varint [diff]", "VarBits", "VarBits [diff]", "Minimum number of bits [diff]", "Varnibble", "Varnibble [diff]", "Subsets (first match, varint)", "Subsets (first match, varnibble)", "best: Subsets (first match) or varint", "best: Subsets (first match) or varnibble"
73, 4000, 1995, 1015, 1877, 709, 1004, 2414, 736, 834, 794, 834, 736
74, 1380, 685, 376, 649, 340, 349, 805, 340, 421, 395, 376, 340
75, 1824, 907, 482, 857, 413, 517, 1080, 413, 516, 487, 482, 413
76, 9828, 4896, 2457, 4609, 1399, 1847, 5842, 1504, 1608, 1576, 1608, 1504
77, 420, 206, 136, 199, 120, 135, 253, 120, 150, 140, 136, 120
78, 856, 426, 254, 403, 214, 245, 520, 213, 279, 249, 254, 213
79, 4448, 2211, 1129, 2087, 740, 1116, 2568, 774, 869, 835, 869, 774
80, 4920, 2447, 1241, 2308, 816, 1081, 2970, 865, 918, 886, 918, 865
81, 2880, 1430, 739, 1352, 549, 724, 1742, 563, 635, 612, 635, 563
82, 3376, 1682, 856, 1585, 653, 848, 2018, 655, 804, 775, 804, 655
83, 5608, 2787, 1405, 2631, 939, 1231, 3313, 979, 1149, 1101, 1149, 979
84, 148, 74, 56, 72, 52, 55, 91, 52, 61, 59, 56, 52
85, 5260, 2618, 1320, 2468, 899, 1155, 3129, 928, 1127, 1080, 1127, 928
86, 8888, 4418, 2223, 4168, 1320, 1949, 5267, 1395, 1599, 1556, 1599, 1395
87, 6972, 3472, 1746, 3270, 1057, 1747, 4145, 1130, 1237, 1206, 1237, 1130
88, 9104, 4537, 2277, 4270, 1334, 2280, 5475, 1414, 1643, 1598, 1643, 1414
89, 2936, 1460, 746, 1378, 612, 738, 1755, 611, 762, 726, 746, 611
90, 3088, 1535, 793, 1450, 587, 776, 1847, 591, 713, 688, 713, 591
91, 464, 231, 146, 220, 129, 149, 279, 129, 163, 149, 146, 129
92, 332, 164, 115, 158, 102, 108, 201, 101, 129, 113, 115, 101
93, 352, 174, 119, 167, 111, 125, 193, 110, 130, 126, 119, 110
94, 1188, 592, 333, 559, 280, 338, 705, 280, 345, 327, 333, 280
95, 2080, 1036, 545, 977, 437, 524, 1241, 441, 523, 493, 523, 441
96, 1492, 742, 401, 702, 341, 424, 857, 341, 418, 397, 401, 341
97, 232, 116, 88, 111, 78, 77, 140, 79, 95, 87, 88, 79
98, 112, 56, 47, 55, 42, 43, 68, 41, 49, 48, 47, 41
99, 12640, 6222, 3164, 5927, 1566, 2770, 7302, 1818, 1542, 1549, 1542, 1549
100, 684, 342, 214, 323, 190, 197, 406, 190, 236, 210, 214, 190
101, 24, 12, 11, 13, 11, 12, 15, 11, 11, 11, 11, 11
102, 1888, 944, 499, 887, 402, 535, 1146, 401, 482, 452, 482, 401
103, 40, 20, 15, 21, 15, 18, 25, 15, 16, 18, 15, 15
104, 52, 26, 24, 27, 22, 22, 31, 23, 24, 25, 24, 23
105, 56, 28, 23, 28, 23, 25, 35, 23, 24, 26, 23, 23
106, 36, 18, 17, 19, 17, 16, 22, 15, 17, 18, 17, 15
107, 9268, 4620, 2320, 4347, 1306, 2321, 5547, 1407, 1457, 1443, 1457, 1407
108, 148, 74, 61, 72, 54, 55, 87, 55, 67, 62, 61, 55
109, 68, 34, 26, 34, 23, 29, 43, 24, 26, 25, 26, 24
110, 1004, 502, 285, 473, 249, 287, 603, 249, 312, 288, 285, 249
111, 36, 18, 17, 19, 17, 17, 22, 17, 17, 18, 17, 17
112, 44, 22, 19, 23, 18, 19, 27, 18, 19, 21, 19, 18
113, 24, 12, 10, 13, 11, 12, 15, 11, 11, 11, 10, 11
114, 24, 12, 12, 13, 13, 13, 15, 13, 12, 14, 12, 13
115, 36, 17, 15, 19, 15, 17, 21, 15, 15, 15, 15, 15
116, 108, 54, 47, 53, 42, 41, 62, 43, 49, 48, 47, 43
117, 28, 14, 13, 15, 14, 14, 18, 13, 13, 14, 13, 13
118, 20, 10, 10, 12, 10, 11, 13, 10, 11, 11, 10, 10
119, 116, 58, 48, 57, 43, 44, 69, 42, 50, 46, 48, 42
120, 10384, 5095, 2607, 4870, 1250, 2600, 5954, 1500, 1233, 1235, 1233, 1235
121, 48, 24, 17, 25, 15, 22, 30, 16, 17, 17, 17, 16
122, 168, 79, 63, 81, 57, 62, 98, 56, 67, 62, 63, 56
123, 10576, 5279, 2647, 4960, 1400, 2318, 6013, 1571, 1462, 1468, 1462, 1468
124, 132, 65, 52, 64, 49, 49, 79, 48, 56, 53, 52, 48
125, 24, 12, 11, 13, 12, 13, 14, 11, 11, 12, 11, 11
126, 24, 12, 11, 13, 10, 12, 15, 11, 11, 12, 11, 11
127, 20, 10, 7, 12, 8, 10, 13, 9, 10, 9, 7, 9
128, 96, 47, 30, 41, 27, 40, 44, 27, 31, 32, 30, 27
129, 284, 142, 82, 135, 65, 102, 174, 65, 77, 76, 77, 65
130, 1140, 566, 315, 537, 247, 360, 687, 247, 309, 285, 309, 247
131, 224, 112, 79, 107, 73, 74, 135, 72, 86, 82, 79, 72
132, 148, 74, 53, 72, 50, 55, 91, 52, 62, 58, 53, 52
133, 644, 322, 205, 304, 170, 185, 385, 170, 212, 197, 205, 170
134, 4428, 2211, 1115, 2078, 804, 1111, 2630, 817, 1027, 980, 1027, 817
135, 144, 72, 55, 70, 50, 54, 89, 51, 58, 57, 55, 51
136, 148, 73, 54, 72, 51, 55, 88, 51, 59, 58, 54, 51
137, 152, 76, 51, 73, 45, 56, 84, 45, 53, 50, 51, 45
138, 100, 50, 39, 49, 40, 38, 62, 40, 46, 45, 39, 40
139, 332, 166, 111, 158, 96, 108, 201, 96, 119, 113, 111, 96
140, 60, 30, 24, 30, 22, 25, 38, 21, 25, 23, 24, 21
141, 11892, 5845, 2975, 5577, 1572, 2606, 7054, 1767, 1685, 1651, 1685, 1651
142, 320, 159, 115, 152, 103, 104, 191, 102, 130, 117, 115, 102
143, 5536, 2762, 1394, 2597, 859, 1388, 3359, 934, 949, 916, 949, 916
144, 200, 100, 70, 96, 64, 67, 117, 63, 74, 70, 70, 63
145, 624, 309, 196, 295, 177, 180, 371, 180, 224, 203, 196, 180
146, 288, 144, 102, 137, 88, 94, 172, 87, 107, 101, 102, 87
147, 556, 278, 176, 263, 149, 161, 339, 149, 189, 173, 176, 149
148, 3112, 1545, 795, 1461, 583, 782, 1854, 594, 652, 636, 652, 594
149, 6872, 3436, 1732, 3223, 975, 1722, 4051, 1063, 1040, 1023, 1040, 1023
150, 132, 66, 49, 64, 43, 49, 79, 43, 51, 48, 49, 43
151, 68, 34, 29, 34, 27, 27, 42, 28, 31, 30, 29, 28
152, 80, 40, 28, 40, 26, 34, 50, 26, 29, 30, 28, 26
153, 264, 132, 93, 126, 88, 87, 162, 89, 108, 99, 93, 89
154, 2528, 1259, 659, 1187, 473, 715, 1510, 481, 600, 557, 600, 481
155, 2776, 1383, 714, 1303, 550, 785, 1679, 550, 680, 634, 680, 550
156, 56, 27, 23, 28, 23, 23, 33, 23, 26, 26, 23, 23
157, 852, 424, 248, 402, 226, 244, 514, 231, 285, 260, 248, 231
158, 204, 102, 73, 98, 71, 68, 124, 74, 87, 77, 73, 74
159, 284, 142, 96, 135, 81, 102, 173, 81, 98, 94, 96, 81
160, 2524, 1258, 650, 1185, 490, 714, 1498, 495, 624, 578, 624, 495
161, 24, 11, 11, 12, 12, 13, 14, 12, 11, 14, 11, 12
162, 20, 10, 6, 12, 6, 7, 13, 6, 7, 6, 6, 6
163, 388, 193, 126, 184, 121, 125, 231, 120, 148, 137, 126, 120
164, 908, 453, 261, 428, 219, 260, 547, 219, 269, 249, 261, 219
165, 108, 53, 47, 53, 44, 41, 65, 44, 50, 47, 47, 44
166, 584, 290, 170, 276, 152, 205, 352, 152, 178, 174, 170, 152
167, 1224, 611, 338, 576, 296, 349, 730, 296, 374, 349, 338, 296
168, 280, 139, 103, 133, 94, 92, 168, 94, 113, 105, 103, 94
169, 1364, 679, 371, 642, 314, 388, 800, 313, 384, 358, 371, 313
170, 304, 152, 94, 145, 81, 109, 187, 81, 96, 92, 94, 81
171, 1560, 779, 417, 733, 370, 394, 940, 370, 458, 427, 417, 370
172, 1100, 549, 309, 518, 288, 314, 654, 289, 355, 328, 309, 289
173, 668, 333, 207, 315, 189, 213, 397, 193, 242, 215, 207, 193
174, 532, 266, 177, 252, 158, 154, 308, 158, 194, 182, 177, 158
175, 424, 211, 144, 201, 124, 137, 258, 124, 158, 143, 144, 124
176, 204, 102, 82, 98, 69, 68, 122, 73, 87, 81, 82, 73
177, 304, 151, 111, 145, 98, 99, 182, 98, 123, 109, 111, 98
178, 112, 56, 50, 55, 44, 39, 67, 46, 53, 49, 50, 46
179, 180, 90, 74, 87, 65, 60, 109, 66, 77, 75, 74, 66
180, 60, 30, 27, 30, 26, 25, 36, 26, 28, 28, 27, 26
181, 476, 238, 147, 225, 117, 153, 291, 116, 149, 136, 147, 116
182, 112, 56, 47, 55, 41, 39, 70, 42, 48, 47, 47, 42
183, 128, 64, 54, 62, 47, 48, 78, 47, 58, 52, 54, 47
184, 3260, 1621, 834, 1530, 631, 819, 1942, 631, 806, 757, 806, 631
185, 32, 16, 14, 17, 14, 16, 18, 13, 14, 15, 14, 13
186, 92, 46, 34, 45, 31, 36, 57, 31, 35, 34, 34, 31
187, 2216, 1105, 586, 1041, 461, 558, 1275, 460, 581, 531, 581, 460
188, 1584, 788, 430, 745, 359, 400, 919, 359, 454, 423, 430, 359
189, 7340, 3655, 1852, 3443, 1030, 1839, 4327, 1138, 1099, 1067, 1099, 1067
190, 1480, 736, 401, 696, 350, 421, 860, 350, 440, 405, 401, 350
191, 1512, 753, 411, 711, 349, 430, 886, 348, 439, 405, 411, 348
192, 1728, 862, 466, 812, 380, 490, 997, 379, 479, 444, 466, 379
193, 816, 408, 242, 385, 215, 234, 470, 215, 268, 246, 242, 215
194, 956, 475, 276, 450, 240, 273, 545, 239, 302, 279, 276, 239
195, 2064, 1028, 542, 970, 451, 585, 1198, 451, 566, 523, 542, 451
196, 200, 100, 79, 96, 69, 67, 115, 69, 82, 78, 79, 69
197, 952, 473, 280, 448, 234, 272, 549, 234, 301, 274, 280, 234
198, 1172, 585, 329, 552, 280, 334, 662, 280, 352, 329, 329, 280
199, 2040, 1017, 544, 958, 425, 514, 1183, 424, 533, 498, 533, 424
200, 1492, 743, 404, 702, 350, 424, 874, 350, 445, 404, 404, 350
201, 812, 404, 244, 383, 211, 233, 466, 211, 266, 246, 244, 211
202, 2904, 1445, 751, 1363, 554, 821, 1686, 554, 694, 662, 694, 554
203, 280, 140, 91, 133, 82, 100, 161, 82, 98, 92, 91, 82
204, 1456, 726, 400, 685, 338, 368, 849, 337, 421, 387, 400, 337
205, 3076, 1535, 792, 1444, 594, 773, 1781, 596, 770, 709, 770, 596
206, 1440, 717, 393, 677, 327, 409, 830, 327, 418, 386, 393, 327
